t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,target
21,1,7,1,17,0,10,4,0,10,5,16,6,5,24,27,24,31,25,24,25,24,27,24,31,24,27,24,27,24,25,24,27,23,29,32,8,0,12,0,31,25,24,25,24,27,23,25,23,32,24
1,7,0,13,1,33,18,33,15,33,9,33,13,33,29,33,26,33,30,33,14,33,28,33,22,33,15,32,23,27,24,25,31,24,27,24,25,31,32,15,32,30,33,20,33,18,33,29,26,33,33
15,33,8,33,22,32,14,33,32,14,32,29,33,30,32,22,32,23,33,9,2,3,13,33,22,32,22,32,22,33,22,32,2,22,32,22,32,22,33,22,33,22,33,23,29,23,33,28,31,25,22
25,31,15,32,15,32,15,33,15,32,30,15,32,15,33,15,32,15,33,31,32,8,2,1,13,2,27,2,32,15,32,22,32,18,32,18,33,20,32,18,33,20,32,8,2,8,33,8,30,8,15
20,33,19,1,2,10,4,10,4,0,10,5,10,0,10,4,10,0,10,0,10,4,0,10,5,10,0,3,12,0,21,0,1,17,1,0,8,30,33,29,32,23,32,31,28,33,19,0,21,1,10
28,31,32,18,32,22,32,14,33,13,33,22,32,18,15,33,13,15,33,15,32,15,32,15,32,15,33,15,32,15,33,30,15,32,33,19,0,11,0,19,33,27,33,22,33,28,33,26,29,32,15
11,0,2,9,2,0,13,33,26,29,33,29,33,14,33,18,33,14,33,14,33,26,33,26,33,29,33,29,33,9,33,15,32,33,29,32,14,32,8,0,13,1,2,28,33,23,32,31,33,31,33
19,33,30,33,20,32,29,33,9,2,13,33,20,33,31,24,31,33,18,15,32,15,32,15,33,15,32,15,33,15,32,15,32,30,15,32,15,32,20,33,30,32,20,32,2,0,21,1,17,1,15
18,33,15,33,13,0,9,2,9,2,9,2,9,2,9,2,9,33,9,33,9,33,9,33,9,33,31,25,23,32,14,33,18,32,33,30,32,20,33,8,2,7,0,2,32,33,23,32,30,1,9
2,9,2,28,33,20,33,32,29,33,27,24,31,32,22,33,30,33,28,33,14,33,33,13,33,14,33,30,8,33,8,33,20,33,20,33,13,33,19,33,26,33,14,32,14,33,31,33,9,2,33
11,0,5,30,1,30,8,30,1,30,30,33,29,30,32,30,8,30,33,30,32,30,8,33,30,8,0,17,1,30,1,30,33,8,32,15,33,29,23,27,24,27,33,31,25,31,25,23,29,26,30
4,6,4,10,4,0,10,4,6,4,10,4,23,29,33,23,25,23,29,23,25,23,32,23,27,23,25,23,32,23,25,23,27,24,25,23,27,24,31,0,17,1,17,1,0,6,4,0,4,10,23
32,30,33,30,1,0,6,16,6,16,5,10,5,10,5,16,5,6,5,5,10,4,5,0,5,6,5,16,5,6,16,5,0,1,19,1,2,28,33,18,33,30,8,32,2,8,33,22,33,20,5
32,30,33,19,0,8,2,0,13,0,6,0,29,33,29,33,29,26,29,26,29,26,29,26,29,29,32,29,26,29,32,29,33,20,32,8,30,33,28,31,25,31,24,31,32,31,25,23,32,8,29
4,0,8,0,17,0,6,0,12,0,2,13,1,7,1,0,8,32,8,30,12,0,12,0,12,3,12,0,19,12,3,12,0,12,3,12,0,4,12,3,0,3,0,7,3,0,4,0,5,6,12
4,6,16,6,0,5,6,4,6,16,5,10,5,10,4,6,4,6,5,6,5,0,19,0,21,1,3,1,5,10,5,16,5,10,5,0,5,0,5,10,5,16,5,0,5,0,5,6,4,0,5
5,0,2,7,0,21,1,3,1,7,2,3,7,3,0,3,12,3,1,3,1,3,0,3,13,3,12,0,3,0,5,10,4,0,12,3,7,1,19,33,28,2,27,33,27,33,28,31,33,19,3
3,12,0,4,10,0,6,5,10,4,29,26,33,29,26,29,33,29,26,33,29,32,18,29,32,29,32,29,26,29,33,14,33,19,0,12,0,7,3,7,0,3,12,3,1,13,1,19,1,7,29
29,32,30,32,29,32,22,32,23,32,30,8,0,3,2,8,0,7,2,7,3,0,6,0,3,12,0,21,1,29,26,29,32,29,23,29,23,29,23,29,32,23,29,33,29,26,29,33,29,23,29
10,5,16,5,0,8,32,15,32,22,33,14,33,29,32,29,23,33,8,0,21,0,3,13,2,25,31,25,24,25,23,32,25,24,25,31,25,24,25,23,25,24,25,23,25,24,31,32,23,32,25
6,0,4,4,10,4,10,4,0,4,6,4,0,4,0,31,4,10,4,6,4,6,4,10,0,2,8,32,22,32,18,32,15,33,14,32,2,8,2,7,2,7,3,13,0,6,4,10,0,8,4
13,1,7,1,17,1,30,1,21,0,13,3,12,0,3,19,33,19,1,19,33,19,0,19,33,19,0,19,33,19,33,19,1,19,1,3,7,1,0,13,1,3,13,3,0,13,0,1,3,7,19
16,6,0,5,0,31,28,2,28,33,13,0,13,1,13,3,13,33,13,3,13,0,13,1,13,2,13,33,13,0,12,3,0,6,4,6,0,2,27,33,19,33,13,3,2,9,2,13,2,28,13
25,23,25,23,25,31,32,18,32,20,32,15,32,13,3,13,2,13,0,13,2,13,33,13,2,13,2,13,3,13,0,13,2,28,33,31,33,13,2,0,11,0,13,3,13,33,28,2,9,33,13
7,3,7,2,13,33,31,32,20,32,15,33,31,24,31,28,31,24,27,23,29,33,15,33,15,32,15,33,15,32,15,33,15,33,15,33,30,15,32,15,33,15,32,29,33,9,33,31,32,8,15
17,0,21,0,3,1,2,8,33,8,0,1,21,1,7,0,5,16,6,16,7,3,7,2,7,0,7,3,7,1,7,1,7,2,7,2,7,2,7,1,30,8,33,19,33,18,33,28,31,25,7
16,5,6,0,8,32,22,32,18,32,14,32,15,32,14,33,22,33,28,2,13,0,17,1,21,0,31,31,24,31,24,25,31,32,20,31,25,31,24,31,24,31,0,31,24,31,25,24,31,24,31
15,33,32,18,32,14,32,30,33,26,29,32,8,31,28,31,0,3,31,24,31,33,23,31,24,31,28,31,24,25,31,28,33,22,32,23,27,24,25,31,28,31,33,30,1,30,32,33,31,0,31
14,32,33,26,29,33,23,32,23,32,23,33,23,29,23,23,29,23,33,23,32,23,27,23,33,23,32,20,33,22,32,14,32,20,33,13,3,2,9,33,8,33,27,23,29,26,33,29,32,31,23
0,31,28,31,0,1,13,2,9,2,8,2,7,14,32,14,32,14,32,14,32,14,33,14,32,14,33,13,14,32,14,32,14,32,20,32,20,33,19,33,28,31,24,31,28,33,29,26,29,32,14
10,4,0,31,24,31,24,27,33,29,32,14,32,8,22,33,22,32,22,33,22,33,22,32,22,33,22,33,22,32,22,32,20,33,28,33,32,31,25,24,27,23,25,24,31,0,5,0,21,0,22
